dataset,instancia,negocios,C,i,archivo
BT-peor-fact,BT-P-F-1-1-1,1,1,1,..\instances\BT-peor-fact\BT-P-F-1-1-1.txt
BT-peor-fact,BT-P-F-2-1-2,2,2,1,..\instances\BT-peor-fact\BT-P-F-2-1-2.txt
BT-peor-fact,BT-P-F-3-1-3,3,3,1,..\instances\BT-peor-fact\BT-P-F-3-1-3.txt
BT-peor-fact,BT-P-F-4-1-4,4,4,1,..\instances\BT-peor-fact\BT-P-F-4-1-4.txt
BT-peor-fact,BT-P-F-5-1-5,5,5,1,..\instances\BT-peor-fact\BT-P-F-5-1-5.txt
BT-peor-fact,BT-P-F-6-1-6,6,6,1,..\instances\BT-peor-fact\BT-P-F-6-1-6.txt
BT-peor-fact,BT-P-F-7-1-7,7,7,1,..\instances\BT-peor-fact\BT-P-F-7-1-7.txt
BT-peor-fact,BT-P-F-8-1-8,8,8,1,..\instances\BT-peor-fact\BT-P-F-8-1-8.txt
BT-peor-fact,BT-P-F-9-1-9,9,9,1,..\instances\BT-peor-fact\BT-P-F-9-1-9.txt
BT-peor-fact,BT-P-F-10-1-10,10,10,1,..\instances\BT-peor-fact\BT-P-F-10-1-10.txt
BT-peor-fact,BT-P-F-11-1-11,11,11,1,..\instances\BT-peor-fact\BT-P-F-11-1-11.txt
BT-peor-fact,BT-P-F-12-1-12,12,12,1,..\instances\BT-peor-fact\BT-P-F-12-1-12.txt
BT-peor-fact,BT-P-F-13-1-13,13,13,1,..\instances\BT-peor-fact\BT-P-F-13-1-13.txt
BT-peor-fact,BT-P-F-14-1-14,14,14,1,..\instances\BT-peor-fact\BT-P-F-14-1-14.txt
BT-peor-fact,BT-P-F-15-1-15,15,15,1,..\instances\BT-peor-fact\BT-P-F-15-1-15.txt
BT-peor-fact,BT-P-F-16-1-16,16,16,1,..\instances\BT-peor-fact\BT-P-F-16-1-16.txt
BT-peor-fact,BT-P-F-17-1-17,17,17,1,..\instances\BT-peor-fact\BT-P-F-17-1-17.txt
BT-peor-fact,BT-P-F-18-1-18,18,18,1,..\instances\BT-peor-fact\BT-P-F-18-1-18.txt
BT-peor-fact,BT-P-F-19-1-19,19,19,1,..\instances\BT-peor-fact\BT-P-F-19-1-19.txt
BT-peor-fact,BT-P-F-20-1-20,20,20,1,..\instances\BT-peor-fact\BT-P-F-20-1-20.txt
BT-peor-fact,BT-P-F-21-1-21,21,21,1,..\instances\BT-peor-fact\BT-P-F-21-1-21.txt
BT-peor-fact,BT-P-F-22-1-22,22,22,1,..\instances\BT-peor-fact\BT-P-F-22-1-22.txt
BT-peor-fact,BT-P-F-23-1-23,23,23,1,..\instances\BT-peor-fact\BT-P-F-23-1-23.txt
BT-peor-fact,BT-P-F-24-1-24,24,24,1,..\instances\BT-peor-fact\BT-P-F-24-1-24.txt
BT-peor-fact,BT-P-F-25-1-25,25,25,1,..\instances\BT-peor-fact\BT-P-F-25-1-25.txt
BT-peor-fact,BT-P-F-26-1-26,26,26,1,..\instances\BT-peor-fact\BT-P-F-26-1-26.txt
BT-peor-fact,BT-P-F-27-1-27,27,27,1,..\instances\BT-peor-fact\BT-P-F-27-1-27.txt
BT-peor-fact,BT-P-F-28-1-28,28,28,1,..\instances\BT-peor-fact\BT-P-F-28-1-28.txt
BT-peor-fact,BT-P-F-29-1-29,29,29,1,..\instances\BT-peor-fact\BT-P-F-29-1-29.txt
BT-peor-fact,BT-P-F-30-1-30,30,30,1,..\instances\BT-peor-fact\BT-P-F-30-1-30.txt
BT-peor-fact,BT-P-F-31-1-31,31,31,1,..\instances\BT-peor-fact\BT-P-F-31-1-31.txt
BT-peor-fact,BT-P-F-32-1-32,32,32,1,..\instances\BT-peor-fact\BT-P-F-32-1-32.txt
BT-peor-fact,BT-P-F-33-1-33,33,33,1,..\instances\BT-peor-fact\BT-P-F-33-1-33.txt
BT-peor-fact,BT-P-F-34-1-34,34,34,1,..\instances\BT-peor-fact\BT-P-F-34-1-34.txt
BT-peor-fact,BT-P-F-35-1-35,35,35,1,..\instances\BT-peor-fact\BT-P-F-35-1-35.txt
BT-peor-fact,BT-P-F-36-1-36,36,36,1,..\instances\BT-peor-fact\BT-P-F-36-1-36.txt
BT-peor-fact,BT-P-F-37-1-37,37,37,1,..\instances\BT-peor-fact\BT-P-F-37-1-37.txt
BT-peor-fact,BT-P-F-38-1-38,38,38,1,..\instances\BT-peor-fact\BT-P-F-38-1-38.txt
BT-peor-fact,BT-P-F-39-1-39,39,39,1,..\instances\BT-peor-fact\BT-P-F-39-1-39.txt
BT-peor-fact,BT-P-F-40-1-40,40,40,1,..\instances\BT-peor-fact\BT-P-F-40-1-40.txt
BT-peor-fact,BT-P-F-41-1-41,41,41,1,..\instances\BT-peor-fact\BT-P-F-41-1-41.txt
BT-peor-fact,BT-P-F-42-1-42,42,42,1,..\instances\BT-peor-fact\BT-P-F-42-1-42.txt
BT-peor-fact,BT-P-F-43-1-43,43,43,1,..\instances\BT-peor-fact\BT-P-F-43-1-43.txt
BT-peor-fact,BT-P-F-44-1-44,44,44,1,..\instances\BT-peor-fact\BT-P-F-44-1-44.txt
BT-peor-fact,BT-P-F-45-1-45,45,45,1,..\instances\BT-peor-fact\BT-P-F-45-1-45.txt
BT-peor-fact,BT-P-F-46-1-46,46,46,1,..\instances\BT-peor-fact\BT-P-F-46-1-46.txt
BT-peor-fact,BT-P-F-47-1-47,47,47,1,..\instances\BT-peor-fact\BT-P-F-47-1-47.txt
BT-peor-fact,BT-P-F-48-1-48,48,48,1,..\instances\BT-peor-fact\BT-P-F-48-1-48.txt
BT-peor-fact,BT-P-F-49-1-49,49,49,1,..\instances\BT-peor-fact\BT-P-F-49-1-49.txt
BT-peor-fact,BT-P-F-50-1-50,50,50,1,..\instances\BT-peor-fact\BT-P-F-50-1-50.txt
BT-peor-fact,BT-P-F-51-1-51,51,51,1,..\instances\BT-peor-fact\BT-P-F-51-1-51.txt
BT-peor-fact,BT-P-F-52-1-52,52,52,1,..\instances\BT-peor-fact\BT-P-F-52-1-52.txt
BT-peor-fact,BT-P-F-53-1-53,53,53,1,..\instances\BT-peor-fact\BT-P-F-53-1-53.txt
BT-peor-fact,BT-P-F-54-1-54,54,54,1,..\instances\BT-peor-fact\BT-P-F-54-1-54.txt
BT-peor-fact,BT-P-F-55-1-55,55,55,1,..\instances\BT-peor-fact\BT-P-F-55-1-55.txt
BT-peor-fact,BT-P-F-56-1-56,56,56,1,..\instances\BT-peor-fact\BT-P-F-56-1-56.txt
BT-peor-fact,BT-P-F-57-1-57,57,57,1,..\instances\BT-peor-fact\BT-P-F-57-1-57.txt
BT-peor-fact,BT-P-F-58-1-58,58,58,1,..\instances\BT-peor-fact\BT-P-F-58-1-58.txt
BT-peor-fact,BT-P-F-59-1-59,59,59,1,..\instances\BT-peor-fact\BT-P-F-59-1-59.txt
BT-peor-fact,BT-P-F-60-1-60,60,60,1,..\instances\BT-peor-fact\BT-P-F-60-1-60.txt
