dataset,instancia,negocios,C,i,archivo
BT-peor-opt,BT-P-O-1-1-1,1,1,1,..\instances\BT-peor-opt\BT-P-O-1-1-1.txt
BT-peor-opt,BT-P-O-2-1-2,2,2,1,..\instances\BT-peor-opt\BT-P-O-2-1-2.txt
BT-peor-opt,BT-P-O-3-1-3,3,3,1,..\instances\BT-peor-opt\BT-P-O-3-1-3.txt
BT-peor-opt,BT-P-O-4-1-4,4,4,1,..\instances\BT-peor-opt\BT-P-O-4-1-4.txt
BT-peor-opt,BT-P-O-5-1-5,5,5,1,..\instances\BT-peor-opt\BT-P-O-5-1-5.txt
BT-peor-opt,BT-P-O-6-1-6,6,6,1,..\instances\BT-peor-opt\BT-P-O-6-1-6.txt
BT-peor-opt,BT-P-O-7-1-7,7,7,1,..\instances\BT-peor-opt\BT-P-O-7-1-7.txt
BT-peor-opt,BT-P-O-8-1-8,8,8,1,..\instances\BT-peor-opt\BT-P-O-8-1-8.txt
BT-peor-opt,BT-P-O-9-1-9,9,9,1,..\instances\BT-peor-opt\BT-P-O-9-1-9.txt
BT-peor-opt,BT-P-O-10-1-10,10,10,1,..\instances\BT-peor-opt\BT-P-O-10-1-10.txt
BT-peor-opt,BT-P-O-11-1-11,11,11,1,..\instances\BT-peor-opt\BT-P-O-11-1-11.txt
BT-peor-opt,BT-P-O-12-1-12,12,12,1,..\instances\BT-peor-opt\BT-P-O-12-1-12.txt
BT-peor-opt,BT-P-O-13-1-13,13,13,1,..\instances\BT-peor-opt\BT-P-O-13-1-13.txt
BT-peor-opt,BT-P-O-14-1-14,14,14,1,..\instances\BT-peor-opt\BT-P-O-14-1-14.txt
BT-peor-opt,BT-P-O-15-1-15,15,15,1,..\instances\BT-peor-opt\BT-P-O-15-1-15.txt
BT-peor-opt,BT-P-O-16-1-16,16,16,1,..\instances\BT-peor-opt\BT-P-O-16-1-16.txt
BT-peor-opt,BT-P-O-17-1-17,17,17,1,..\instances\BT-peor-opt\BT-P-O-17-1-17.txt
BT-peor-opt,BT-P-O-18-1-18,18,18,1,..\instances\BT-peor-opt\BT-P-O-18-1-18.txt
BT-peor-opt,BT-P-O-19-1-19,19,19,1,..\instances\BT-peor-opt\BT-P-O-19-1-19.txt
BT-peor-opt,BT-P-O-20-1-20,20,20,1,..\instances\BT-peor-opt\BT-P-O-20-1-20.txt
BT-peor-opt,BT-P-O-21-1-21,21,21,1,..\instances\BT-peor-opt\BT-P-O-21-1-21.txt
BT-peor-opt,BT-P-O-22-1-22,22,22,1,..\instances\BT-peor-opt\BT-P-O-22-1-22.txt
BT-peor-opt,BT-P-O-23-1-23,23,23,1,..\instances\BT-peor-opt\BT-P-O-23-1-23.txt
BT-peor-opt,BT-P-O-24-1-24,24,24,1,..\instances\BT-peor-opt\BT-P-O-24-1-24.txt
BT-peor-opt,BT-P-O-25-1-25,25,25,1,..\instances\BT-peor-opt\BT-P-O-25-1-25.txt
BT-peor-opt,BT-P-O-26-1-26,26,26,1,..\instances\BT-peor-opt\BT-P-O-26-1-26.txt
BT-peor-opt,BT-P-O-27-1-27,27,27,1,..\instances\BT-peor-opt\BT-P-O-27-1-27.txt
BT-peor-opt,BT-P-O-28-1-28,28,28,1,..\instances\BT-peor-opt\BT-P-O-28-1-28.txt
BT-peor-opt,BT-P-O-29-1-29,29,29,1,..\instances\BT-peor-opt\BT-P-O-29-1-29.txt
BT-peor-opt,BT-P-O-30-1-30,30,30,1,..\instances\BT-peor-opt\BT-P-O-30-1-30.txt
BT-peor-opt,BT-P-O-31-1-31,31,31,1,..\instances\BT-peor-opt\BT-P-O-31-1-31.txt
BT-peor-opt,BT-P-O-32-1-32,32,32,1,..\instances\BT-peor-opt\BT-P-O-32-1-32.txt
BT-peor-opt,BT-P-O-33-1-33,33,33,1,..\instances\BT-peor-opt\BT-P-O-33-1-33.txt
BT-peor-opt,BT-P-O-34-1-34,34,34,1,..\instances\BT-peor-opt\BT-P-O-34-1-34.txt
BT-peor-opt,BT-P-O-35-1-35,35,35,1,..\instances\BT-peor-opt\BT-P-O-35-1-35.txt
BT-peor-opt,BT-P-O-36-1-36,36,36,1,..\instances\BT-peor-opt\BT-P-O-36-1-36.txt
BT-peor-opt,BT-P-O-37-1-37,37,37,1,..\instances\BT-peor-opt\BT-P-O-37-1-37.txt
BT-peor-opt,BT-P-O-38-1-38,38,38,1,..\instances\BT-peor-opt\BT-P-O-38-1-38.txt
BT-peor-opt,BT-P-O-39-1-39,39,39,1,..\instances\BT-peor-opt\BT-P-O-39-1-39.txt
BT-peor-opt,BT-P-O-40-1-40,40,40,1,..\instances\BT-peor-opt\BT-P-O-40-1-40.txt
BT-peor-opt,BT-P-O-41-1-41,41,41,1,..\instances\BT-peor-opt\BT-P-O-41-1-41.txt
BT-peor-opt,BT-P-O-42-1-42,42,42,1,..\instances\BT-peor-opt\BT-P-O-42-1-42.txt
BT-peor-opt,BT-P-O-43-1-43,43,43,1,..\instances\BT-peor-opt\BT-P-O-43-1-43.txt
BT-peor-opt,BT-P-O-44-1-44,44,44,1,..\instances\BT-peor-opt\BT-P-O-44-1-44.txt
BT-peor-opt,BT-P-O-45-1-45,45,45,1,..\instances\BT-peor-opt\BT-P-O-45-1-45.txt
BT-peor-opt,BT-P-O-46-1-46,46,46,1,..\instances\BT-peor-opt\BT-P-O-46-1-46.txt
BT-peor-opt,BT-P-O-47-1-47,47,47,1,..\instances\BT-peor-opt\BT-P-O-47-1-47.txt
BT-peor-opt,BT-P-O-48-1-48,48,48,1,..\instances\BT-peor-opt\BT-P-O-48-1-48.txt
BT-peor-opt,BT-P-O-49-1-49,49,49,1,..\instances\BT-peor-opt\BT-P-O-49-1-49.txt
BT-peor-opt,BT-P-O-50-1-50,50,50,1,..\instances\BT-peor-opt\BT-P-O-50-1-50.txt
BT-peor-opt,BT-P-O-51-1-51,51,51,1,..\instances\BT-peor-opt\BT-P-O-51-1-51.txt
BT-peor-opt,BT-P-O-52-1-52,52,52,1,..\instances\BT-peor-opt\BT-P-O-52-1-52.txt
BT-peor-opt,BT-P-O-53-1-53,53,53,1,..\instances\BT-peor-opt\BT-P-O-53-1-53.txt
BT-peor-opt,BT-P-O-54-1-54,54,54,1,..\instances\BT-peor-opt\BT-P-O-54-1-54.txt
BT-peor-opt,BT-P-O-55-1-55,55,55,1,..\instances\BT-peor-opt\BT-P-O-55-1-55.txt
BT-peor-opt,BT-P-O-56-1-56,56,56,1,..\instances\BT-peor-opt\BT-P-O-56-1-56.txt
BT-peor-opt,BT-P-O-57-1-57,57,57,1,..\instances\BT-peor-opt\BT-P-O-57-1-57.txt
BT-peor-opt,BT-P-O-58-1-58,58,58,1,..\instances\BT-peor-opt\BT-P-O-58-1-58.txt
BT-peor-opt,BT-P-O-59-1-59,59,59,1,..\instances\BT-peor-opt\BT-P-O-59-1-59.txt
BT-peor-opt,BT-P-O-60-1-60,60,60,1,..\instances\BT-peor-opt\BT-P-O-60-1-60.txt
BT-peor-opt,BT-P-O-61-1-61,61,61,1,..\instances\BT-peor-opt\BT-P-O-61-1-61.txt
BT-peor-opt,BT-P-O-62-1-62,62,62,1,..\instances\BT-peor-opt\BT-P-O-62-1-62.txt
BT-peor-opt,BT-P-O-63-1-63,63,63,1,..\instances\BT-peor-opt\BT-P-O-63-1-63.txt
BT-peor-opt,BT-P-O-64-1-64,64,64,1,..\instances\BT-peor-opt\BT-P-O-64-1-64.txt
BT-peor-opt,BT-P-O-65-1-65,65,65,1,..\instances\BT-peor-opt\BT-P-O-65-1-65.txt
BT-peor-opt,BT-P-O-66-1-66,66,66,1,..\instances\BT-peor-opt\BT-P-O-66-1-66.txt
BT-peor-opt,BT-P-O-67-1-67,67,67,1,..\instances\BT-peor-opt\BT-P-O-67-1-67.txt
BT-peor-opt,BT-P-O-68-1-68,68,68,1,..\instances\BT-peor-opt\BT-P-O-68-1-68.txt
BT-peor-opt,BT-P-O-69-1-69,69,69,1,..\instances\BT-peor-opt\BT-P-O-69-1-69.txt
BT-peor-opt,BT-P-O-70-1-70,70,70,1,..\instances\BT-peor-opt\BT-P-O-70-1-70.txt
BT-peor-opt,BT-P-O-71-1-71,71,71,1,..\instances\BT-peor-opt\BT-P-O-71-1-71.txt
BT-peor-opt,BT-P-O-72-1-72,72,72,1,..\instances\BT-peor-opt\BT-P-O-72-1-72.txt
BT-peor-opt,BT-P-O-73-1-73,73,73,1,..\instances\BT-peor-opt\BT-P-O-73-1-73.txt
BT-peor-opt,BT-P-O-74-1-74,74,74,1,..\instances\BT-peor-opt\BT-P-O-74-1-74.txt
BT-peor-opt,BT-P-O-75-1-75,75,75,1,..\instances\BT-peor-opt\BT-P-O-75-1-75.txt
BT-peor-opt,BT-P-O-76-1-76,76,76,1,..\instances\BT-peor-opt\BT-P-O-76-1-76.txt
BT-peor-opt,BT-P-O-77-1-77,77,77,1,..\instances\BT-peor-opt\BT-P-O-77-1-77.txt
BT-peor-opt,BT-P-O-78-1-78,78,78,1,..\instances\BT-peor-opt\BT-P-O-78-1-78.txt
BT-peor-opt,BT-P-O-79-1-79,79,79,1,..\instances\BT-peor-opt\BT-P-O-79-1-79.txt
BT-peor-opt,BT-P-O-80-1-80,80,80,1,..\instances\BT-peor-opt\BT-P-O-80-1-80.txt
BT-peor-opt,BT-P-O-81-1-81,81,81,1,..\instances\BT-peor-opt\BT-P-O-81-1-81.txt
BT-peor-opt,BT-P-O-82-1-82,82,82,1,..\instances\BT-peor-opt\BT-P-O-82-1-82.txt
BT-peor-opt,BT-P-O-83-1-83,83,83,1,..\instances\BT-peor-opt\BT-P-O-83-1-83.txt
BT-peor-opt,BT-P-O-84-1-84,84,84,1,..\instances\BT-peor-opt\BT-P-O-84-1-84.txt
BT-peor-opt,BT-P-O-85-1-85,85,85,1,..\instances\BT-peor-opt\BT-P-O-85-1-85.txt
BT-peor-opt,BT-P-O-86-1-86,86,86,1,..\instances\BT-peor-opt\BT-P-O-86-1-86.txt
